sample,timestamp,tag_01,tag_02,tag_03,tag_04,tag_05,tag_06,tag_07,tag_08,tag_09,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,tag_50,tag_51,tag_52
1,2026-05-01T08:00:00,50.934,24.626,27.01,32.958,41.621,2705.6,3663.9,18.019,18.579,22.247,0.2507,0.098577,341.02,77.571,6.882,13.823,32.188,4473.3,22.973,48.695,49.505,80.272,2.2633,1.6567,3102.9,42.245,54.411,94.593,9.3312,60.515,36.643,40.209,2634.0,63.055,24.83,47.437,0.33593,8.8933,26.383,120.4,1.2565,75.491,23.978,2.2986,53.724,4.8436,230.36,0.017866,0.8357,65.778,18.776,43.828
2,2026-05-01T08:03:00,50.184,24.608,26.956,33.024,41.071,2702.9,3667.9,17.43,18.274,22.249,0.25097,0.098577,341.22,76.982,6.9303,13.886,32.489,4513.8,23.245,46.961,50.378,80.025,2.2227,1.6999,3101.1,42.451,53.925,94.628,9.3982,60.875,39.212,39.969,2631.3,62.986,27.392,47.464,0.33788,8.9226,26.227,120.4,1.4879,75.271,24.279,2.2951,53.724,4.9113,230.05,0.017866,0.8357,65.777,19.054,43.828
3,2026-05-01T08:06:00,50.274,24.61,27.049,33.024,40.811,2703.2,3682.1,17.895,18.274,21.951,0.25095,0.098577,341.37,77.207,6.9303,13.886,32.489,4555.4,23.043,47.168,50.94,80.033,2.2227,1.6999,3100.7,42.182,53.428,94.606,9.3214,59.651,40.867,39.937,2631.7,62.741,24.73,47.524,0.33815,8.9226,26.227,120.39,1.4879,75.157,24.279,2.2951,53.724,4.9113,229.36,0.017866,0.8357,65.744,19.054,43.828
4,2026-05-01T08:09:00,49.33,21.762,27.107,32.844,40.643,2701.3,3663.2,18.212,18.552,22.079,0.21853,0.098577,341.35,76.994,6.9776,13.872,32.571,4485.0,22.923,44.984,49.676,79.923,2.2213,1.6631,3098.4,42.148,53.566,94.651,9.2243,61.963,37.147,41.018,2629.8,62.621,25.706,47.41,0.34357,8.7602,26.523,120.37,1.3026,75.637,24.421,2.278,53.724,4.8888,230.66,0.017866,0.8357,65.719,18.743,43.828
5,2026-05-01T08:12:00,49.72,21.606,26.85,32.844,41.108,2700.5,3675.7,15.807,18.552,21.875,0.22012,0.089937,341.6,77.322,6.9776,13.872,32.571,4439.1,23.929,45.886,49.879,79.982,2.2213,1.6631,3097.8,42.282,54.115,94.826,9.2596,60.686,37.743,41.118,2630.0,62.405,24.84,47.413,0.34275,8.7602,26.523,120.4,1.3026,75.404,24.421,2.278,54.937,4.8888,230.67,0.021734,0.82995,65.661,18.743,43.661
6,2026-05-01T08:15:00,48.922,20.582,26.992,32.794,40.736,2703.2,3632.4,18.364,18.676,22.184,0.20758,0.089937,341.16,77.675,6.7984,13.878,32.337,4460.3,22.837,44.04,48.267,80.203,2.2606,1.669,3100.0,42.217,54.604,94.714,9.331,60.917,32.999,40.682,2631.3,62.667,26.158,47.658,0.34381,8.8268,26.856,120.38,1.2789,73.916,23.761,2.2179,54.937,4.8391,227.93,0.021734,0.82995,65.713,19.373,43.661
7,2026-05-01T08:18:00,48.789,20.493,26.898,32.794,41.107,2704.2,3619.5,17.297,18.676,21.978,0.20848,0.089937,340.9,77.995,6.7984,13.878,32.337,4469.1,23.267,43.732,50.373,80.37,2.2606,1.669,3102.8,41.829,54.499,94.669,9.299,62.981,39.198,40.59,2633.3,62.889,24.456,47.448,0.34456,8.8268,26.856,120.41,1.2789,74.349,23.761,2.2179,54.937,4.8391,230.27,0.021734,0.82995,65.742,19.373,43.661
8,2026-05-01T08:21:00,50.24,22.576,26.779,32.795,41.187,2705.3,3663.0,20.005,18.52,22.128,0.22703,0.089937,341.12,77.403,6.8542,13.765,31.932,4423.0,22.139,47.089,50.841,80.387,2.2515,1.6623,3102.4,42.118,53.458,94.637,9.3198,63.123,40.574,40.859,2634.2,63.707,25.63,47.279,0.34428,9.0863,26.291,120.41,1.3943,75.183,23.925,2.3369,54.937,4.786,232.1,0.021734,0.82995,65.835,18.42,43.661
9,2026-05-01T08:24:00,47.875,22.448,27.101,32.795,41.088,2704.3,3675.6,18.868,18.52,22.205,0.22833,0.089937,340.94,77.381,6.8542,13.765,31.932,4451.7,22.615,41.617,49.952,80.294,2.2515,1.6623,3103.0,42.328,53.114,94.607,9.3728,61.701,37.959,40.819,2632.6,63.491,23.406,47.544,0.34461,9.0863,26.291,120.42,1.3943,75.345,23.925,2.3369,54.937,4.786,229.04,0.021734,0.82995,65.851,18.42,43.661
10,2026-05-01T08:27:00,51.106,26.496,26.985,32.842,40.82,2703.8,3669.5,17.938,18.974,21.974,0.2665,0.087688,340.93,77.041,6.8836,13.82,31.814,4498.5,23.021,49.094,49.306,80.141,2.3079,1.6857,3102.0,42.315,54.872,94.572,9.3343,62.866,36.058,39.524,2632.1,63.159,25.599,47.324,0.33058,8.9095,26.196,120.39,1.1491,75.536,23.865,2.3952,53.388,4.9374,229.79,0.010083,0.84334,65.815,18.604,43.266
11,2026-05-01T08:30:00,50.599,26.266,26.961,32.842,40.946,2704.4,3673.7,17.101,18.974,21.986,0.26883,0.087688,341.05,77.412,6.8836,13.82,31.814,4482.4,23.366,47.92,50.286,80.037,2.3079,1.6857,3102.8,42.494,55.064,94.607,9.3713,62.501,38.942,39.466,2632.5,63.087,25.675,47.325,0.33106,8.9095,26.196,120.4,1.1491,75.532,23.865,2.3952,53.388,4.9374,229.05,0.010083,0.84334,65.749,18.604,43.266
12,2026-05-01T08:33:00,50.658,27.808,26.679,32.497,41.534,2706.0,3648.9,16.086,18.714,22.07,0.28264,0.087688,340.84,77.12,6.7233,13.637,32.587,4500.9,23.806,48.056,50.803,80.077,2.2997,1.671,3103.2,42.592,54.436,94.608,9.4066,59.773,40.464,40.17,2635.1,63.267,25.609,47.064,0.33699,8.8801,26.276,120.39,1.3139,74.852,24.292,2.2995,53.388,4.8387,231.25,0.010083,0.84334,65.713,19.0,43.266
13,2026-05-01T08:36:00,49.473,27.836,26.766,32.497,41.727,2708.5,3662.0,15.704,18.714,22.737,0.28235,0.087688,342.13,77.337,6.7233,13.637,32.587,4525.2,23.956,45.315,51.459,80.197,2.2997,1.671,3103.7,42.418,54.145,94.515,9.369,62.416,42.394,40.005,2638.2,63.042,25.739,47.151,0.33834,8.8801,26.276,120.41,1.3139,74.333,24.292,2.2995,53.388,4.8387,229.54,0.010083,0.84334,65.7,19.0,43.266
14,2026-05-01T08:39:00,50.611,20.443,27.084,32.968,40.977,2708.1,3728.4,19.504,18.704,22.346,0.20761,0.087688,341.54,77.343,6.7028,13.734,32.219,4503.6,22.351,47.948,48.052,80.273,2.2695,1.6322,3105.1,42.745,53.428,94.549,9.3859,62.632,32.366,37.459,2636.6,63.379,23.394,47.276,0.31791,9.0862,26.547,120.42,1.2658,75.774,24.043,2.2715,53.388,4.7947,227.39,0.010083,0.84334,65.737,19.022,43.266
15,2026-05-01T08:42:00,49.398,20.63,27.211,32.968,41.281,2703.3,3724.6,17.111,18.704,21.712,0.20571,0.10606,341.01,77.209,6.7028,13.734,32.219,4430.9,23.368,45.14,50.297,80.01,2.2695,1.6322,3103.7,41.898,54.298,94.417,9.3429,61.818,38.974,37.669,2632.1,63.445,26.225,47.407,0.31618,9.0862,26.547,120.4,1.2658,75.78,24.043,2.2715,54.195,4.7947,229.04,0.0082223,0.83571,65.713,19.022,43.916
16,2026-05-01T08:45:00,50.739,23.808,27.124,32.799,41.506,2704.7,3708.3,17.447,18.501,22.446,0.24024,0.10606,340.8,77.479,6.9328,13.943,32.132,4473.2,23.219,48.245,50.868,80.15,2.2704,1.6704,3101.9,42.605,53.697,94.387,9.3603,60.424,40.654,38.688,2633.9,64.064,26.171,47.498,0.32738,8.8765,25.916,120.4,1.3016,74.306,24.2,2.2655,54.195,4.8221,228.97,0.0082223,0.83571,65.703,18.734,43.916
17,2026-05-01T08:48:00,49.865,23.883,27.042,32.799,41.478,2703.7,3686.4,17.428,18.501,21.923,0.23949,0.10606,340.73,77.32,6.9328,13.943,32.132,4488.2,23.227,46.221,48.939,80.181,2.2704,1.6704,3102.1,42.402,53.518,94.4,9.4549,60.249,34.977,38.505,2631.6,64.442,24.099,47.471,0.32888,8.8765,25.916,120.4,1.3016,75.761,24.2,2.2655,54.195,4.8221,230.21,0.0082223,0.83571,65.751,18.734,43.916
18,2026-05-01T08:51:00,50.353,24.655,27.144,33.283,41.222,2702.7,3673.2,18.123,18.106,21.92,0.24858,0.10606,340.72,77.226,6.9538,13.864,32.28,4529.6,22.941,47.351,50.375,80.078,2.299,1.7039,3100.0,42.006,53.711,94.503,9.4986,60.956,39.203,41.776,2630.4,62.711,24.373,47.461,0.34819,8.8938,26.544,120.38,1.2103,75.142,24.248,2.2643,54.195,4.8002,231.25,0.0082223,0.83571,65.74,18.765,43.916
19,2026-05-01T08:54:00,50.145,24.633,27.051,33.283,40.977,2701.7,3639.7,20.388,18.106,22.036,0.2488,0.10606,340.58,76.995,6.9538,13.864,32.28,4468.6,21.994,46.869,51.617,80.096,2.299,1.7039,3100.0,42.348,54.441,94.691,9.3139,61.81,42.858,41.463,2630.9,63.287,26.654,47.735,0.35076,8.8938,26.544,120.38,1.2103,75.8,24.248,2.2643,54.195,4.8002,229.12,0.0082223,0.83571,65.757,18.765,43.916
20,2026-05-01T08:57:00,50.249,23.161,26.997,32.808,40.904,2701.7,3641.0,17.346,18.209,22.209,0.23477,0.09182,340.76,77.195,6.8822,13.914,32.113,4515.6,23.275,47.11,51.944,80.022,2.2784,1.6725,3099.2,42.329,53.807,94.653,9.4443,59.57,43.82,40.909,2630.6,63.024,24.353,47.542,0.33889,8.7162,26.234,120.4,1.2077,75.033,24.276,2.3085,53.139,4.8978,230.12,0.027964,0.82727,65.718,18.973,43.923
21,2026-05-01T09:00:00,50.273,23.282,26.953,32.808,40.896,2703.2,3680.3,18.893,18.209,22.137,0.23354,0.09182,341.0,76.978,6.8822,13.914,32.113,4484.5,22.63,47.166,50.088,80.102,2.2784,1.6725,3100.5,42.518,54.178,94.688,9.2574,63.052,38.359,40.643,2631.3,62.347,24.376,47.6,0.34106,8.7162,26.234,120.37,1.2077,75.701,24.276,2.3085,53.139,4.8978,229.47,0.027964,0.82727,65.717,18.973,43.923
22,2026-05-01T09:03:00,50.894,24.584,26.977,32.962,41.372,2702.5,3680.1,18.337,18.624,22.09,0.25248,0.09182,340.52,77.325,6.8568,13.817,32.267,4475.7,22.858,48.604,48.126,80.018,2.2478,1.6439,3100.5,42.135,53.758,94.672,9.3469,61.53,32.584,41.557,2631.8,62.944,25.704,47.586,0.34538,8.8723,26.169,120.39,1.2442,74.707,24.225,2.3514,53.139,4.8155,229.66,0.027964,0.82727,65.685,19.004,43.923
23,2026-05-01T09:06:00,49.605,24.687,27.308,32.962,40.645,2704.2,3642.6,16.144,18.624,22.218,0.25144,0.09182,340.63,77.528,6.8568,13.817,32.267,4442.1,23.773,45.62,48.452,80.202,2.2478,1.6439,3102.1,42.613,54.16,94.654,9.2798,61.146,33.544,41.378,2633.8,63.59,26.742,47.351,0.34685,8.8723,26.169,120.4,1.2442,74.916,24.225,2.3514,53.139,4.8155,232.3,0.027964,0.82727,65.721,19.004,43.923
24,2026-05-01T09:09:00,50.08,23.367,26.787,33.307,41.789,2707.7,3687.3,20.099,18.872,22.138,0.23505,0.09182,340.57,77.72,6.8229,13.853,32.198,4490.6,22.088,46.718,48.666,80.474,2.2706,1.6714,3104.7,42.292,53.469,94.533,9.3474,62.554,34.173,40.146,2636.1,63.056,24.856,47.69,0.3362,9.025,26.449,120.43,1.4275,74.602,24.198,2.4156,53.139,4.8115,228.48,0.027964,0.82727,65.791,18.923,43.923
25,2026-05-01T09:12:00,50.749,23.328,26.919,33.307,40.9,2705.8,3675.1,19.288,18.872,22.209,0.23545,0.088523,340.53,77.316,6.8229,13.853,32.198,4494.3,22.439,48.267,51.055,80.31,2.2706,1.6714,3104.2,41.913,53.425,94.544,9.3742,61.853,41.204,39.964,2634.3,63.266,25.026,47.357,0.3377,9.025,26.449,120.38,1.4275,75.257,24.198,2.4156,53.079,4.8115,229.66,0.017849,0.83219,65.829,18.923,42.98
26,2026-05-01T09:15:00,48.406,23.577,27.019,32.992,41.218,2704.0,3678.0,18.093,18.629,22.084,0.24529,0.088523,340.77,76.847,6.8907,13.717,32.074,4454.0,22.961,42.845,50.391,80.131,2.2917,1.6241,3102.0,42.379,54.075,94.568,9.4202,59.895,39.252,40.626,2632.6,63.554,24.323,47.192,0.3402,8.8533,26.532,120.42,1.4625,75.269,24.485,2.4149,53.079,4.8584,230.41,0.017849,0.83219,65.813,18.322,42.98
27,2026-05-01T09:18:00,50.527,23.736,27.142,32.992,40.456,2701.8,3674.7,21.52,18.629,21.969,0.24367,0.088523,340.6,76.985,6.8907,13.717,32.074,4475.6,21.517,47.754,50.606,80.004,2.2917,1.6241,3101.0,42.141,53.816,94.559,9.3932,61.959,39.883,40.412,2630.0,63.61,26.003,47.198,0.34195,8.8533,26.532,120.38,1.4625,75.563,24.485,2.4149,53.079,4.8584,229.29,0.017849,0.83219,65.735,18.322,42.98
28,2026-05-01T09:21:00,49.017,25.085,26.954,32.672,41.459,2700.7,3678.5,18.071,18.497,21.959,0.25499,0.088523,340.86,77.055,6.9949,13.771,31.807,4526.8,22.987,44.258,51.612,79.709,2.2611,1.6564,3099.5,42.305,54.703,94.716,9.3332,62.513,42.845,38.596,2629.3,62.973,26.586,47.021,0.32654,8.9237,26.631,120.42,1.171,74.771,24.007,2.3272,53.079,4.9232,230.27,0.017849,0.83219,65.611,18.811,42.98
29,2026-05-01T09:24:00,49.935,25.184,26.959,32.672,41.406,2706.0,3687.5,18.219,18.497,22.427,0.25399,0.088523,340.83,77.837,6.9949,13.771,31.807,4521.6,22.896,46.385,49.692,80.119,2.2611,1.6564,3103.5,42.708,54.765,94.629,9.469,60.91,37.194,38.626,2635.0,62.819,24.482,46.999,0.32629,8.9237,26.631,120.38,1.171,75.524,24.007,2.3272,53.079,4.9232,229.53,0.017849,0.83219,65.606,18.811,42.98
30,2026-05-01T09:27:00,51.117,27.735,27.027,33.036,41.292,2709.7,3639.3,18.408,18.543,22.293,0.28494,0.082568,340.85,77.531,6.7562,14.037,32.35,4492.6,22.813,49.12,50.41,80.426,2.2657,1.6442,3106.1,42.439,53.949,94.528,9.2626,60.796,39.308,39.234,2639.1,62.676,24.36,47.13,0.33222,8.9454,26.337,120.4,1.1919,74.914,23.815,2.2076,53.196,4.9074,228.26,0.0062543,0.84354,65.684,18.718,43.367
31,2026-05-01T09:30:00,50.509,27.857,26.819,33.036,40.922,2709.0,3638.6,16.713,18.543,22.14,0.28371,0.082568,341.24,77.423,6.7562,14.037,32.35,4477.6,23.53,47.711,49.935,80.248,2.2657,1.6442,3108.0,42.296,54.129,94.65,9.262,61.713,37.909,39.726,2638.2,62.689,24.688,47.032,0.32819,8.9454,26.337,120.39,1.1919,74.612,23.815,2.2076,53.196,4.9074,228.83,0.0062543,0.84354,65.731,18.718,43.367
