sample,timestamp,tag_01,tag_02,tag_03,tag_04,tag_05,tag_06,tag_07,tag_08,tag_09,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,tag_50,tag_51,tag_52
1,2026-04-27T05:00:00,49.248,28.433,26.94,33.038,40.806,2703.0,3669.3,16.014,18.741,22.193,0.28225,0.10716,341.96,77.621,6.8593,14.054,32.529,4523.2,23.828,44.794,50.082,80.153,2.2956,1.6583,3098.9,42.042,53.518,94.614,9.1857,62.254,38.341,40.107,2631.7,63.681,26.773,47.732,0.33793,8.8115,26.417,120.4,1.4107,75.092,23.955,2.235,54.46,4.9304,233.65,0.025404,0.84122,65.805,18.619,42.487
2,2026-04-27T05:03:00,50.317,28.161,26.752,33.038,41.494,2704.6,3656.8,18.459,18.741,22.157,0.28501,0.10716,341.51,77.641,6.8593,14.054,32.529,4496.4,22.79,47.268,49.56,80.3,2.2956,1.6583,3101.1,42.421,53.839,94.557,9.3524,60.955,36.807,39.915,2633.4,63.896,25.576,48.039,0.3395,8.8115,26.417,120.42,1.4107,76.023,23.955,2.235,54.46,4.9304,229.86,0.025404,0.84122,65.853,18.619,42.487
3,2026-04-27T05:06:00,49.831,21.905,26.662,33.274,41.368,2703.6,3674.6,17.42,18.161,22.302,0.22413,0.10716,341.77,77.606,6.9253,13.945,32.482,4539.6,23.216,46.143,49.555,80.529,2.2729,1.6513,3101.0,42.196,54.057,94.487,9.2713,60.672,36.791,43.149,2634.0,63.16,25.564,48.003,0.3644,8.9889,26.771,120.43,1.2519,75.554,23.427,2.3736,54.46,4.853,229.89,0.025404,0.84122,65.934,18.179,42.487
4,2026-04-27T05:09:00,49.425,22.089,27.052,33.274,41.239,2699.5,3652.6,17.263,18.161,21.941,0.22226,0.10716,341.42,77.179,6.9253,13.945,32.482,4524.7,23.292,45.204,49.599,80.346,2.2729,1.6513,3098.5,42.205,54.235,94.573,9.3445,62.095,36.92,43.094,2628.4,63.538,24.926,47.783,0.36485,8.9889,26.771,120.4,1.2519,75.012,23.427,2.3736,54.46,4.853,231.96,0.025404,0.84122,65.986,18.179,42.487
5,2026-04-27T05:12:00,50.237,22.053,27.08,33.276,41.045,2697.6,3622.1,19.321,18.502,21.969,0.22512,0.10781,340.75,76.94,6.9004,13.894,32.386,4560.7,22.44,47.082,48.278,80.131,2.238,1.6625,3095.6,42.331,54.948,94.616,9.3676,59.226,33.033,42.091,2625.7,63.474,23.319,47.712,0.35127,8.8431,26.333,120.38,1.2083,74.308,23.98,2.26,53.718,4.9653,234.79,0.0015125,0.82978,65.952,18.994,44.089
6,2026-04-27T05:15:00,49.822,22.382,26.81,33.276,41.181,2695.7,3664.6,18.06,18.502,21.793,0.22178,0.10781,340.68,76.867,6.9004,13.894,32.386,4582.2,22.984,46.122,52.539,79.914,2.238,1.6625,3093.4,42.297,54.691,94.742,9.2615,62.103,45.571,41.774,2622.9,62.742,24.89,47.894,0.35386,8.8431,26.333,120.39,1.2083,75.483,23.98,2.26,53.718,4.9653,233.49,0.0015125,0.82978,65.873,18.994,44.089
7,2026-04-27T05:18:00,50.284,22.715,27.198,33.01,40.458,2694.1,3666.6,18.669,18.653,22.0,0.23194,0.10781,340.7,77.156,6.8291,13.924,32.688,4514.0,22.727,47.191,50.248,79.881,2.2441,1.7005,3092.4,42.505,53.539,94.813,9.3168,60.868,38.829,41.248,2622.4,62.897,25.235,48.13,0.34824,9.1081,26.009,120.38,1.3661,74.912,23.597,2.3006,53.718,4.8348,231.6,0.0015125,0.82978,65.791,18.618,44.089
8,2026-04-27T05:21:00,51.561,22.671,26.926,33.01,41.201,2697.2,3661.4,15.202,18.653,22.031,0.23239,0.10781,340.75,77.676,6.8291,13.924,32.688,4539.0,24.173,50.147,51.128,80.192,2.2441,1.7005,3093.6,41.914,53.24,94.633,9.3465,62.406,41.419,41.323,2625.1,62.987,22.791,48.09,0.34763,9.1081,26.009,120.41,1.3661,74.906,23.597,2.3006,53.718,4.8348,232.82,0.0015125,0.82978,65.798,18.618,44.089
9,2026-04-27T05:24:00,50.603,19.295,26.747,33.359,41.313,2697.5,3681.7,16.904,18.81,21.593,0.20104,0.10781,340.33,77.24,6.883,13.688,32.376,4543.4,23.456,47.929,49.706,80.375,2.2279,1.7052,3096.7,42.19,54.106,94.705,9.3778,61.875,37.235,41.977,2625.4,63.279,25.601,48.033,0.34997,9.0645,25.942,120.42,1.2325,74.269,23.455,2.3196,53.718,4.9137,234.16,0.0015125,0.82978,65.86,18.774,44.089
10,2026-04-27T05:27:00,52.47,19.608,27.049,33.359,40.642,2697.8,3679.3,17.298,18.81,21.981,0.19786,0.096227,340.17,77.52,6.883,13.688,32.376,4572.1,23.277,52.249,50.554,80.524,2.2279,1.7052,3096.3,42.254,53.762,94.656,9.171,62.262,39.729,42.101,2627.4,63.321,26.179,48.009,0.34895,9.0645,25.942,120.4,1.2325,75.455,23.455,2.3196,53.133,4.9137,231.8,0.018664,0.83247,65.92,18.774,43.81
