sample,timestamp,tag_01,tag_02,tag_03,tag_04,tag_05,tag_06,tag_07,tag_08,tag_09,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,tag_50,tag_51,tag_52
1,2026-04-09T20:00:00,50.687,26.447,26.624,33.002,41.334,2705.8,3697.5,17.214,18.227,22.126,0.26961,0.098577,341.88,77.182,6.7575,13.909,31.823,4540.2,23.329,48.125,49.307,80.129,2.2903,1.671,3103.7,42.247,53.149,94.555,9.2193,62.282,36.061,39.14,2635.4,63.157,25.079,47.488,0.32682,8.9124,26.761,120.39,1.1687,74.911,24.043,2.2949,53.724,4.7575,229.82,0.017866,0.8357,65.748,19.042,43.828
2,2026-04-09T20:03:00,48.714,26.393,27.152,33.002,41.282,2704.3,3682.0,17.251,18.227,22.191,0.27016,0.097595,341.5,77.197,6.7575,13.909,31.823,4496.4,23.317,43.558,50.499,79.947,2.2903,1.671,3102.5,42.772,53.674,94.591,9.4463,61.035,39.57,38.836,2632.7,63.422,25.166,47.51,0.32931,8.9124,26.761,120.41,1.1687,74.371,24.043,2.2949,53.156,4.7575,229.58,0.019572,0.84247,65.737,19.042,43.33
3,2026-04-09T20:06:00,51.375,28.436,26.755,33.08,40.847,2704.0,3695.7,17.233,18.435,21.974,0.29012,0.097595,341.94,77.094,6.881,13.841,31.954,4487.7,23.333,49.717,50.191,79.95,2.2605,1.6422,3101.6,42.134,53.533,94.458,9.454,61.326,38.662,41.436,2632.9,63.727,25.32,47.481,0.34432,8.7767,26.496,120.39,1.4026,76.137,24.361,2.2957,53.156,4.8224,229.94,0.019572,0.84247,65.692,18.616,43.33
4,2026-04-09T20:09:00,49.822,28.356,27.08,33.08,41.398,2704.6,3658.8,17.734,18.435,22.324,0.29094,0.097595,341.99,77.242,6.881,13.841,31.954,4447.0,23.118,46.122,51.401,80.059,2.2605,1.6422,3102.0,42.32,54.021,94.575,9.3469,62.461,42.223,41.437,2633.0,64.363,24.699,47.484,0.34431,8.7767,26.496,120.42,1.4026,73.854,24.361,2.2957,53.156,4.8224,229.94,0.019572,0.84247,65.691,18.616,43.33
5,2026-04-09T20:12:00,49.661,27.653,26.835,33.127,40.636,2705.1,3692.3,17.744,18.596,22.528,0.27899,0.097595,342.08,77.408,7.0399,13.814,32.69,4534.3,23.107,45.749,50.082,80.081,2.2711,1.6513,3100.3,42.02,54.011,94.404,9.3215,60.676,38.34,40.097,2634.2,62.762,26.483,47.615,0.3409,8.8673,26.586,120.38,1.4365,74.887,23.904,2.3851,53.156,4.7897,228.47,0.019572,0.84247,65.704,18.908,43.33
6,2026-04-09T20:15:00,49.125,27.649,26.782,33.127,42.36,2706.1,3678.6,19.389,18.596,22.298,0.27903,0.097595,341.74,77.405,7.0399,13.814,32.69,4549.4,22.404,44.51,51.123,80.288,2.2711,1.6513,3103.6,42.236,53.83,94.582,9.3328,61.263,41.405,40.328,2635.5,62.998,25.943,47.477,0.33901,8.8673,26.586,120.41,1.4365,74.3,23.904,2.3851,53.156,4.7897,229.99,0.019572,0.84247,65.766,18.908,43.33
7,2026-04-09T20:18:00,50.327,20.396,26.632,33.453,40.848,2705.7,3617.5,19.549,18.72,22.403,0.20759,0.085195,341.94,77.331,7.1416,13.865,32.565,4452.2,22.334,47.291,51.3,80.3,2.2672,1.6222,3102.1,42.534,54.28,94.52,9.2823,59.616,41.925,40.098,2635.8,62.582,24.143,47.759,0.33512,8.9966,26.498,120.36,1.2328,74.378,24.222,2.1993,53.445,4.8032,228.78,0.018641,0.82255,65.803,18.769,44.366
8,2026-04-09T20:21:00,50.069,20.481,26.461,33.453,40.372,2703.3,3636.7,19.4,18.72,22.093,0.20673,0.085195,341.97,77.148,7.1416,13.865,32.565,4445.5,22.406,46.694,51.91,80.086,2.2672,1.6222,3098.8,42.25,54.361,94.779,9.3271,60.955,43.722,40.183,2631.7,62.25,23.261,47.519,0.33442,8.9966,26.498,120.38,1.2328,74.356,24.222,2.1993,53.445,4.8032,232.32,0.018641,0.82255,65.8,18.769,44.366
9,2026-04-09T20:24:00,50.504,20.985,26.979,33.324,40.748,2702.4,3613.4,16.602,18.288,22.596,0.21677,0.085195,341.88,77.198,6.9294,13.776,32.479,4543.9,23.59,47.7,49.736,79.92,2.2823,1.6833,3097.6,42.598,53.513,94.86,9.2427,60.14,37.323,40.778,2631.2,61.564,26.203,47.746,0.34097,8.956,26.146,120.36,1.0866,74.807,24.299,2.3718,53.445,4.8434,230.66,0.018641,0.82255,65.763,18.541,44.366
10,2026-04-09T20:27:00,48.626,20.928,27.096,33.324,39.675,2703.7,3599.3,17.086,18.288,22.635,0.21735,0.085195,341.95,77.069,6.9294,13.776,32.479,4482.3,23.393,43.354,51.738,79.924,2.2823,1.6833,3097.6,42.204,54.251,94.923,9.428,60.658,43.216,40.954,2632.5,61.805,25.669,47.846,0.33953,8.956,26.146,120.36,1.0866,75.358,24.299,2.3718,53.445,4.8434,230.44,0.018641,0.82255,65.706,18.541,44.366
